ticker,status,rows_collected,min_date,max_date,error_message
Addoha,success,749,2022-01-03,2024-12-31,
AFMA,success,749,2022-01-03,2024-12-31,
Afric Indus,success,749,2022-01-03,2024-12-31,
Afriquia Gaz,success,749,2022-01-03,2024-12-31,
Agma,success,749,2022-01-03,2024-12-31,
Akdital,success,508,2022-12-14,2024-12-31,
Alliances,success,749,2022-01-03,2024-12-31,
Aluminium Maroc,success,749,2022-01-03,2024-12-31,
Aradei Capital,success,749,2022-01-03,2024-12-31,
ATLANTASANAD,success,749,2022-01-03,2024-12-31,
Attijariwafa,success,749,2022-01-03,2024-12-31,
Auto Hall,success,749,2022-01-03,2024-12-31,
Auto Nejma,success,749,2022-01-03,2024-12-31,
BALIMA,success,749,2022-01-03,2024-12-31,
BOA,success,749,2022-01-03,2024-12-31,
BCP,success,749,2022-01-03,2024-12-31,
BMCI,success,749,2022-01-03,2024-12-31,
Cartier Saada,success,749,2022-01-03,2024-12-31,
CDM,success,749,2022-01-03,2024-12-31,
CIH,success,749,2022-01-03,2024-12-31,
Ciments Maroc,success,749,2022-01-03,2024-12-31,
CMT,success,749,2022-01-03,2024-12-31,
Colorado,success,749,2022-01-03,2024-12-31,
COSUMAR,success,749,2022-01-03,2024-12-31,
CTM,success,749,2022-01-03,2024-12-31,
Dari Couspate,success,749,2022-01-03,2024-12-31,
Delta Holding,success,749,2022-01-03,2024-12-31,
Disty Technolog,success,611,2022-07-20,2024-12-31,
DISWAY,success,749,2022-01-03,2024-12-31,
Ennakl,success,749,2022-01-03,2024-12-31,
EQDOM,success,749,2022-01-03,2024-12-31,
FENIE BROSSETTE,success,749,2022-01-03,2024-12-31,
HPS,success,444,2022-01-03,2023-10-06,
IBMaroc,success,749,2022-01-03,2024-12-31,
Immr Invest,success,749,2022-01-03,2024-12-31,
INVOLYS,success,749,2022-01-03,2024-12-31,
Jet Contractors,success,749,2022-01-03,2024-12-31,
LABEL VIE,success,749,2022-01-03,2024-12-31,
LafargeHolcim,success,749,2022-01-03,2024-12-31,
Lesieur Cristal,success,749,2022-01-03,2024-12-31,
M2M Group,success,749,2022-01-03,2024-12-31,
Maghreb Oxygene,success,749,2022-01-03,2024-12-31,
Maghrebail,success,749,2022-01-03,2024-12-31,
Managem,success,749,2022-01-03,2024-12-31,
Maroc Leasing,success,749,2022-01-03,2024-12-31,
Maroc Telecom,success,749,2022-01-03,2024-12-31,
Microdata,success,749,2022-01-03,2024-12-31,
Mutandis,success,749,2022-01-03,2024-12-31,
Oulmes,success,749,2022-01-03,2024-12-31,
PROMOPHARM,success,749,2022-01-03,2024-12-31,
Rebab Company,success,749,2022-01-03,2024-12-31,
Res.Dar Saada,success,749,2022-01-03,2024-12-31,
Risma,success,749,2022-01-03,2024-12-31,
S2M,success,749,2022-01-03,2024-12-31,
Sanlam Maroc,success,749,2022-01-03,2024-12-31,
SALAFIN,success,749,2022-01-03,2024-12-31,
SMI,success,749,2022-01-03,2024-12-31,
Stokvis Nord Afr,success,703,2022-01-03,2024-10-24,
SNEP,success,749,2022-01-03,2024-12-31,
SODEP,success,749,2022-01-03,2024-12-31,
Sonasid,success,749,2022-01-03,2024-12-31,
SOTHEMA,success,749,2022-01-03,2024-12-31,
SRM,success,749,2022-01-03,2024-12-31,
Ste Boissons,success,749,2022-01-03,2024-12-31,
STROC Indus,success,749,2022-01-03,2024-12-31,
TAQA Morocco,success,749,2022-01-03,2024-12-31,
TGCC,success,749,2022-01-03,2024-12-31,
Timar,success,612,2022-01-03,2024-06-07,
Total Maroc,success,749,2022-01-03,2024-12-31,
Unimer,success,749,2022-01-03,2024-12-31,
Wafa Assur,success,749,2022-01-03,2024-12-31,
Zellidja,success,749,2022-01-03,2024-12-31,
