ticker,weight,score,amount,amount_rounded
Maroc Telecom,0.2999999999999997,0.4321221411339568,29999.99999999997,30000.0
STROC Indus,0.2999999999999997,0.4334634449092029,29999.99999999997,30000.0
Addoha,0.2999999999999996,0.44891215770052767,29999.99999999996,30000.0
M2M Group,0.09999999999999719,0.41651596921581485,9999.999999999718,10000.0
Auto Hall,3.3389826651831785e-16,0.3906210123400659,3.338982665183179e-11,0.0
Managem,2.2705935407205163e-16,0.2760448517311744,2.2705935407205164e-11,0.0
TGCC,2.1516443202870262e-16,0.29407110953063537,2.151644320287026e-11,0.0
INVOLYS,1.8223035187450952e-16,0.37799920375704993,1.8223035187450953e-11,0.0
HPS,1.506590948862312e-16,0.2067968201294684,1.506590948862312e-11,0.0
Cartier Saada,1.4868441535891914e-16,0.32382273267943523,1.4868441535891914e-11,0.0
Microdata,1.4798549983425114e-16,0.3429648625296294,1.4798549983425113e-11,0.0
Sanlam Maroc,1.4408035695033982e-16,0.34910308443735527,1.4408035695033981e-11,0.0
Res.Dar Saada,1.2748238224621987e-16,0.38564278179543154,1.2748238224621986e-11,0.0
Maroc Leasing,1.183639122646035e-16,0.33440767393706533,1.1836391226460352e-11,0.0
Lesieur Cristal,1.133845824392131e-16,0.29098662582309975,1.1338458243921311e-11,0.0
Aluminium Maroc,1.1337123584189083e-16,0.3124585887300339,1.1337123584189082e-11,0.0
SMI,1.0991594996503244e-16,0.3492147705596317,1.0991594996503245e-11,0.0
Alliances,1.0124699478658044e-16,0.27409196803663277,1.0124699478658044e-11,0.0
BOA,9.479752024352848e-17,0.3361086994495578,9.479752024352848e-12,0.0
SOTHEMA,9.431368345829789e-17,0.3982067931104896,9.431368345829788e-12,0.0
AFMA,9.272006927202341e-17,0.3622640467352645,9.272006927202341e-12,0.0
CTM,9.229695323646103e-17,0.2715423108483433,9.229695323646102e-12,0.0
Dari Couspate,9.210370778221158e-17,0.32505325805113316,9.210370778221157e-12,0.0
Aradei Capital,8.053104015822633e-17,0.3198790529120211,8.053104015822633e-12,0.0
Afriquia Gaz,7.936437514602123e-17,0.34102076576661927,7.936437514602123e-12,0.0
Wafa Assur,7.137077557215222e-17,0.3173105574533495,7.137077557215222e-12,0.0
LABEL VIE,6.700040244606227e-17,0.3501113551859877,6.7000402446062266e-12,0.0
Risma,6.432922510633445e-17,0.33660762497645147,6.432922510633445e-12,0.0
Jet Contractors,5.991562693436402e-17,0.26329183893027364,5.991562693436402e-12,0.0
Immr Invest,5.858286689429521e-17,0.33844977223264916,5.858286689429521e-12,0.0
EQDOM,5.590482392368653e-17,0.3052882995788134,5.590482392368652e-12,0.0
CMT,4.358378644072336e-17,0.3181909516113373,4.358378644072336e-12,0.0
Ennakl,4.2697295835954166e-17,0.3290599911703137,4.269729583595416e-12,0.0
Rebab Company,3.742478610806476e-17,0.32333459649170504,3.742478610806476e-12,0.0
SRM,3.587597795509341e-17,0.3893542354098533,3.587597795509341e-12,0.0
CDM,2.830568594916406e-17,0.32775539155759736,2.8305685949164058e-12,0.0
Disty Technolog,2.5313762960452178e-17,0.30195189060042565,2.531376296045218e-12,0.0
BALIMA,2.1156458037728378e-17,0.2990105791247377,2.1156458037728376e-12,0.0
Colorado,1.239689687550931e-17,0.32472243741813817,1.239689687550931e-12,0.0
ATLANTASANAD,1.1594750442320211e-17,0.33377401785821714,1.1594750442320211e-12,0.0
IBMaroc,4.6309217055869226e-18,0.33720438211966425,4.630921705586922e-13,0.0
Mutandis,4.350233033510836e-18,0.3006884566671847,4.3502330335108363e-13,0.0
LafargeHolcim,1.6182869232743534e-18,0.308643985481771,1.6182869232743535e-13,0.0
Afric Indus,0.0,0.3360831626395554,0.0,0.0
Akdital,0.0,0.29874998674093306,0.0,0.0
Agma,0.0,0.33555559078861263,0.0,0.0
Delta Holding,0.0,0.30870321286641367,0.0,0.0
DISWAY,0.0,0.3568349144317922,0.0,0.0
Auto Nejma,0.0,0.30832653122256304,0.0,0.0
BCP,0.0,0.3559470539117729,0.0,0.0
FENIE BROSSETTE,0.0,0.39447251153301566,0.0,0.0
Attijariwafa,0.0,0.3299408472947628,0.0,0.0
BMCI,0.0,0.3310016938971042,0.0,0.0
CIH,0.0,0.3286818770602742,0.0,0.0
COSUMAR,0.0,0.357811287317148,0.0,0.0
Ciments Maroc,0.0,0.29946124094467125,0.0,0.0
SALAFIN,0.0,0.3575047018336711,0.0,0.0
S2M,0.0,0.37474073173415184,0.0,0.0
PROMOPHARM,0.0,0.3334556872503171,0.0,0.0
Oulmes,0.0,0.3529654050285821,0.0,0.0
Maghrebail,0.0,0.3086511112225918,0.0,0.0
Maghreb Oxygene,0.0,0.4099176507282222,0.0,0.0
SNEP,0.0,0.3327651665865885,0.0,0.0
SODEP,0.0,0.29784584521257984,0.0,0.0
Ste Boissons,0.0,0.3622385964465502,0.0,0.0
Sonasid,0.0,0.27752924655037137,0.0,0.0
TAQA Morocco,0.0,0.34530416272648,0.0,0.0
Stokvis Nord Afr,0.0,0.37761347480768187,0.0,0.0
Timar,0.0,0.27441901987222084,0.0,0.0
Total Maroc,0.0,0.3491838328546719,0.0,0.0
Unimer,0.0,0.30151395928916785,0.0,0.0
Zellidja,0.0,0.36818120672986077,0.0,0.0
